epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,739.093,0.97504,0.71801,1.13828,0.96897,0.90735,0.96922,0.74136,0.81983,0.55227,1.04754,0.00062385,0.00062385,0.00062385
61,751.254,0.93727,0.67999,1.0985,0.93836,0.94114,0.97034,0.75813,0.81527,0.54568,1.03895,0.000609,0.000609,0.000609
62,763.365,0.97459,0.68763,1.12649,0.93949,0.92477,0.9748,0.74395,0.84603,0.54316,1.04729,0.00059415,0.00059415,0.00059415
63,775.446,0.98364,0.73664,1.14984,0.95378,0.95053,0.97634,0.75278,0.8294,0.53664,1.05453,0.0005793,0.0005793,0.0005793
64,787.212,0.95232,0.68063,1.12122,0.97308,0.93811,0.97517,0.75408,0.81323,0.52569,1.04834,0.00056445,0.00056445,0.00056445
65,799.429,0.95023,0.68392,1.13785,0.98049,0.94069,0.97756,0.75561,0.80411,0.51586,1.04062,0.0005496,0.0005496,0.0005496
66,811.69,0.9241,0.66879,1.0944,0.95873,0.9235,0.96619,0.75379,0.78845,0.53245,1.03366,0.00053475,0.00053475,0.00053475
67,824.039,0.98553,0.71418,1.14333,0.93008,0.95053,0.96888,0.75298,0.80031,0.52509,1.04001,0.0005199,0.0005199,0.0005199
68,836.317,0.97659,0.71236,1.14021,0.94602,0.94874,0.97317,0.76614,0.77473,0.51315,1.02356,0.00050505,0.00050505,0.00050505
69,848.318,0.87693,0.62222,1.09542,0.94764,0.95254,0.97828,0.77362,0.77375,0.49839,1.02099,0.0004902,0.0004902,0.0004902
70,860.829,0.94896,0.68037,1.11154,0.96798,0.94967,0.98014,0.77597,0.77858,0.50063,1.02532,0.00047535,0.00047535,0.00047535
71,873.06,0.93805,0.65303,1.12647,0.96291,0.95946,0.98104,0.78355,0.75724,0.4742,1.01987,0.0004605,0.0004605,0.0004605
72,885.551,0.93398,0.66494,1.09356,0.95722,0.97297,0.98047,0.78731,0.74621,0.46994,1.01343,0.00044565,0.00044565,0.00044565
73,897.574,0.89967,0.67586,1.10561,0.96731,0.97656,0.98168,0.78709,0.75797,0.46713,1.00909,0.0004308,0.0004308,0.0004308
74,910.041,0.89448,0.64188,1.11591,0.96834,0.97528,0.98293,0.78864,0.74944,0.45642,1.00145,0.00041595,0.00041595,0.00041595
75,923.18,0.94049,0.65053,1.10209,0.97601,0.95608,0.98271,0.78864,0.7373,0.46432,1.0052,0.0004011,0.0004011,0.0004011
76,935.353,0.90767,0.64248,1.09254,0.97814,0.96959,0.98315,0.79225,0.72871,0.45344,1.01314,0.00038625,0.00038625,0.00038625
77,947.98,0.87279,0.61014,1.07511,0.9786,0.9571,0.98347,0.79245,0.72978,0.44878,1.00906,0.0003714,0.0003714,0.0003714
78,960.068,0.84624,0.60923,1.0796,0.9791,0.95433,0.98271,0.79231,0.73663,0.45289,1.00599,0.00035655,0.00035655,0.00035655
79,972.326,0.85171,0.59536,1.06989,0.96406,0.97297,0.98272,0.79367,0.71922,0.44163,0.99332,0.0003417,0.0003417,0.0003417
80,984.462,0.86299,0.60636,1.07002,0.96688,0.98649,0.983,0.80437,0.69288,0.43198,0.98725,0.00032685,0.00032685,0.00032685
81,996.974,0.8658,0.62349,1.09229,0.97741,0.97579,0.9839,0.81137,0.68301,0.42028,0.97955,0.000312,0.000312,0.000312
82,1009.33,0.86729,0.59426,1.08123,0.97031,0.96959,0.98592,0.8142,0.68252,0.4241,0.97599,0.00029715,0.00029715,0.00029715
83,1021.47,0.83582,0.57545,1.05163,0.97604,0.97176,0.98596,0.80554,0.67604,0.42756,0.9754,0.0002823,0.0002823,0.0002823
84,1033.44,0.82273,0.57736,1.08101,0.97258,0.98311,0.98662,0.81022,0.67938,0.42166,0.97595,0.00026745,0.00026745,0.00026745
85,1045.6,0.85887,0.57582,1.08809,0.97706,0.97973,0.98757,0.82053,0.66684,0.41048,0.97236,0.0002526,0.0002526,0.0002526
86,1057.62,0.80764,0.56975,1.05537,0.97043,0.97969,0.98442,0.81285,0.65987,0.40442,0.96915,0.00023775,0.00023775,0.00023775
87,1069.78,0.85819,0.57946,1.0743,0.97245,0.97973,0.98734,0.81669,0.65979,0.40379,0.97158,0.0002229,0.0002229,0.0002229
88,1081.98,0.85729,0.58909,1.07853,0.98042,0.97851,0.98757,0.81052,0.65718,0.40501,0.96796,0.00020805,0.00020805,0.00020805
89,1093.93,0.82406,0.56553,1.0504,0.96853,0.9778,0.98693,0.81773,0.65194,0.40201,0.96359,0.0001932,0.0001932,0.0001932
90,1106.02,0.84174,0.60438,1.07674,0.97245,0.96622,0.98611,0.81982,0.6444,0.39713,0.96,0.00017835,0.00017835,0.00017835
91,1119.43,0.68706,0.44472,0.97528,0.96134,0.96622,0.98399,0.81364,0.6522,0.40482,0.96575,0.0001635,0.0001635,0.0001635
92,1131.08,0.67116,0.42343,0.93428,0.96435,0.97516,0.98544,0.81349,0.65251,0.40555,0.96482,0.00014865,0.00014865,0.00014865
93,1143.16,0.68533,0.41912,0.9683,0.97126,0.96959,0.98565,0.81526,0.65268,0.39287,0.96606,0.0001338,0.0001338,0.0001338
94,1154.95,0.64646,0.40751,0.94184,0.96983,0.97389,0.98633,0.81516,0.64488,0.38224,0.96417,0.00011895,0.00011895,0.00011895
95,1166.56,0.67081,0.41639,0.95824,0.97079,0.96959,0.98682,0.82729,0.63804,0.3751,0.96109,0.0001041,0.0001041,0.0001041
96,1178.37,0.64197,0.39072,0.958,0.97366,0.96622,0.98672,0.82972,0.63554,0.37409,0.95885,8.925e-05,8.925e-05,8.925e-05
97,1190.22,0.66688,0.40552,0.96138,0.97636,0.96775,0.98713,0.82636,0.63302,0.37348,0.95703,7.44e-05,7.44e-05,7.44e-05
98,1201.92,0.62768,0.37878,0.9333,0.97894,0.9738,0.98755,0.83337,0.62264,0.37025,0.95271,5.955e-05,5.955e-05,5.955e-05
99,1213.8,0.6398,0.39065,0.95488,0.97908,0.9745,0.98778,0.83168,0.61811,0.36823,0.95113,4.47e-05,4.47e-05,4.47e-05
100,1225.67,0.62827,0.39023,0.95286,0.97805,0.97507,0.98778,0.83596,0.61317,0.36434,0.94912,2.985e-05,2.985e-05,2.985e-05
